id;payment_id;chat_id;kind;file_id;created_at
4;4;8416480528;photo;AgACAgIAAxkBAAICkmilwA4J1wa4QnxOiBY8uCv58aQgAAI4ATIbUQYwSYchevPyqZapAQADAgADeAADNgQ;2025-08-20 13:41:35
3;3;8416480528;photo;AgACAgIAAxkBAAICkmilwA4J1wa4QnxOiBY8uCv58aQgAAI4ATIbUQYwSYchevPyqZapAQADAgADeAADNgQ;2025-08-20 13:36:22
2;2;8416480528;photo;AgACAgIAAxkBAAICkmilwA4J1wa4QnxOiBY8uCv58aQgAAI4ATIbUQYwSYchevPyqZapAQADAgADeAADNgQ;2025-08-20 13:31:53
1;1;8416480528;photo;AgACAgIAAxkBAAICkmilwA4J1wa4QnxOiBY8uCv58aQgAAI4ATIbUQYwSYchevPyqZapAQADAgADeAADNgQ;2025-08-20 12:31:13
